"id","movie_name","directors","actors","movie_rating","genre","duration"
3104,"The One","James Wong","Jet Li, Carla Gugino, Delroy Lindo","5.9","Action, Sci-Fi, Thriller","87 min "
3105,"Jimmy Neutron: Boy Genius","John A. Davis","Debi Derryberry, Rob Paulsen, Megan Cavanagh","6","Animation, Action, Adventure","82 min "
3106,"Pressure Point","Eric Weston","Michael Madsen, Victoria Snow, Ricky Mabe","4.4","Action, Thriller","90 min "
3107,"MacArthur Park","Billy Wirth","Thomas Jefferson Byrd, Brandon Quintin Adams, Bad Azz","6.5","Action, Drama","86 min "
3108,"Manhattan Midnight","Alfred Cheung","Brendan Aucoin, Stacia Crawford, Brandon Marcel Gertz","4.1","Action, Thriller","90 min "
3109,"Soul Assassin","Laurence Malkin","Skeet Ulrich, Kristy Swanson, Derek de Lint","4.5","Crime, Thriller, Action","96 min "
3110,"Hidden Agenda","Marc S. Grenier","Dolph Lundgren, Maxim Roy, Brigitte Paquette","4.7","Action, Crime, Mystery","94 min "
3111,"The Accidental Spy","Teddy Chan","Jackie Chan, Min Kim, Eric Tsang","5.8","Action, Comedy, Thriller","87 min "
3112,"The Last Castle","Rod Lurie","Robert Redford, James Gandolfini, Mark Ruffalo","6.9","Action, Drama, Thriller","131 min "
3113,"Aashiq","Indra Kumar","Bobby Deol, Rahul Dev, Dinesh Hingoo","3.7","Action, Drama, Romance","160 min "
3114,"Snowbound","Ruben Preuss","Erika Eleniak, Monika Schnarre, Peter Dobson","5.1","Mystery, Thriller, Action","93 min "
3115,"The Warrior","Sung-su Kim","Woo-sung Jung, Sung-kee Ahn, Jin-mo Ju","7.2","Action, Drama, History","158 min "
3116,"Witness to a Kill","Darrell Roodt","Gary Daniels, Nick Boraine, Eva Habermann","4.6","Action, Adventure","90 min "
3117,"Snipes","Rich Murray","Sam Jones III, Nelly, Zoe Saldana","6","Action, Drama, Music","113 min "
3118,"Amazons and Gladiators","Zachary Weintraub","Patrick Bergin, Jennifer Rubin, Richard Norton","3.1","Drama, Action, Adventure","94 min "
3119,"Rain","Katherine Lindberg","Melora Walters, Kris Park, Jamey Sheridan","5.7","Drama, Action, Romance","97 min "
3120,"42K","Ken Daurio","Aaron Bruno, Mike Asman, Drew Stewart","4.7","Action, Adventure, Comedy","90 min "
3121,"Mole","Richard Mauro","John-Luke Montias, Sam Tsao, James Cox","5.6","Action, Horror, Thriller","81 min "
3122,"Flying Virus","Jeff Hare","Gabrielle Anwar, Craig Sheffer, Rutger Hauer","3.3","Action, Horror, Sci-Fi","100 min "
3123,"Come and Take It Day","Jim Mendiola","Jesse Borrego, Jesse De Luna, Rick Delgado","7.6","Action, Drama, History","60 min "
3124,"Gadar: Ek Prem Katha","Anil Sharma","Sunny Deol, Ameesha Patel, Amrish Puri","7.1","Action, Drama, Romance","170 min "
3125,"The Arena","Timur Bekmambetov","Karen McDougal, Lisa Dergan, Olga Sutulova","2.6","Adventure, Drama, Action","92 min "
3126,"Biohazardous","Michael J. Hein","Sprague Grayden, David Lee Garver, Katheryn Winnick","3.7","Sci-Fi, Horror, Mystery","95 min "
3127,"Maniacts","Curt Cressler","Jeff Fahey, Kellie Waymire, John Furlong","5.6","Action, Comedy, Drama","92 min "
3128,"Pistol Opera","Seijun Suzuki","Makiko Esumi, Sayoko Yamaguchi, Hanae Kan","6.4","Crime, Action, Drama","112 min "
3129,"Zu Warriors","Hark Tsui","Ekin Cheng, Louis Koo, Ziyi Zhang","5.3","Action, Fantasy","104 min "
3130,"Shaolin Soccer","Stephen Chow","Stephen Chow, Wei Zhao, Yat-Fei Wong","7.3","Action, Comedy, Sport","87 min "
3131,"Fulltime Killer","Johnnie To","Andy Lau, Takashi Sorimachi, Kelly Lin","7","Action, Crime, Drama","102 min "
3132,"Shadow Fury","Makoto Yokoyama","Sam Bottoms, Masakatsu Funaki, Alexandra Kamp-Groeneveld","3.8","Action, Sci-Fi","89 min "
3133,"Guardian","John Terlesky","Mario Van Peebles, James Remar, Stacy Oversier","3.9","Action, Sci-Fi, Thriller","89 min "
3134,"Guardian","John Terlesky","Mario Van Peebles, James Remar, Stacy Oversier","3.9","Action, Sci-Fi, Thriller","89 min "
3135,"The Legend of Suriyothai","Chatrichalerm Yukol","M.L. Piyapas Bhirombhakdi, Sarunyu Wongkrachang, Chatchai Plengpanich","6.6","Action, Adventure, Drama","142 min "
3136,"Instinct to Kill","Gustavo Graef Marino","Mark Dacascos, Missy Crider, Tim Abell","4.7","Action","90 min "
3137,"Nayak: The Real Hero","S. Shankar","Anil Kapoor, Rani Mukerji, Amrish Puri","7.8","Drama, Action","187 min "
3138,"Absolute Hundred","Srdan Golubovic","Vuk Kostic, Srdjan Todorovic, Paulina Manov","7.5","Action, Crime, Drama","93 min "
3139,"Guns & Talks","Jin Jang","Hyeon-jun Shin, Ha-kyun Shin, Bin Won","7","Action, Drama, Comedy","120 min "
3140,"Running Out of Time 2","Wing-cheong Law","Ching Wan Lau, Ekin Cheng, Kelly Lin","5.9","Crime, Action","95 min "
3141,"High Adventure","Mark Roper","Thomas Ian Griffith, Anja Kling, Harry Peacock","3.4","Action, Adventure","102 min "
3142,"My Wife Is a Gangster","Jin-gyu Cho","Eun-Kyung Shin, Sang-Myeon Park, Jae-mo Ahn","6.5","Action, Romance, Comedy","107 min "
3143,"Virtual Reality","Ratiborka Ceramilac","Maja Mandzuka, Lazar Jokic, Nikola Djuricko","5.3","Drama, Thriller, Action","93 min "
3144,"Indian","N. Maharajan","Malaika Arora, Raj Babbar, Rana Jung Bahadur","5.3","Action, Crime, Drama","178 min "
3145,"Hwasango","Tae-gyun Kim","Hyuk Jang, Min-a Shin, Su-ro Kim","6.1","Action, Fantasy","120 min "
3146,"Sunstorm","Mike Marvin","Bo Derek, Stacy Keach, Ray Raglin","3.6","Action","89 min "
3147,"Jesus Christ Vampire Hunter","Lee Demarbre","Phil Caracas, Murielle Varhelyi, Maria Moulton","5.2","Action, Comedy, Horror","85 min "
3148,"Dei seung chui keung","Wei Tung","Ken Chang, Patricia Ja Lee, Jacquline Li","4.9","Action, Adventure","89 min "
3149,"Death Game","Menahem Golan","Evgeny Afineevsky, Jon Golan Aharoni, Bo Brown","4","Action, Drama","95 min "
3150,"Krai Thong","Suthat Intaranupakorn","","4.4","Action, Fantasy, Horror","92 min "
3151,"Bagong buwan","Marilou Diaz-Abaya","Cesar Montano, Caridad Sanchez, Amy Austria","6.6","Action, Drama, War","130 min "
3152,"Shark Hunter","Matt Codd","Antonio Sabato Jr., Christian Toulali, Grand L. Bush","2.8","Action, Adventure, Horror","94 min "
3153,"Buhay kamao","Joyce Bernal","Robin Padilla, Rica Peralejo, Kristine Mangle","5","Action","117 min "
3154,"Initial D: Third Stage","Shin Misawa","Chris Ayres, Greg Ayres, Christopher Bevins","7.6","Animation, Action, Romance","100 min "
3155,"Citizen","Saravana Subaiya","","7","Action, Drama, Thriller","172 min "
3156,"Detective Conan: Countdown to Heaven","Kenji Kodama","Mie Akagi, Laura Bailey, Troy Baker","7.5","Animation, Action, Mystery","100 min "
3157,"Student No. 1","S.S. Rajamouli","Brahmanandam, Gajala, Rajeev Kanakala","6.8","Action, Crime, Drama","130 min "
3158,"Badri","P.A. Arun Prasad","","6.4","Action","160 min "
3159,"Huccha","Om Prakash Rao","Sudeep, Rekha Vedavyasa, Avinash","7","Action, Drama","178 min "
3160,"Full Blast","Eric Mintz","Mike Abbo, Paul Barch, Richard K. Berlinberg","5.8","Action, Thriller","91 min "
3161,"Mission: Impossible II","John Woo","Tom Cruise, Dougray Scott, Thandie Newton","6","Action, Adventure, Thriller","123 min "
3162,"X-Men","Bryan Singer","Patrick Stewart, Hugh Jackman, Ian McKellen","7.4","Action, Adventure, Sci-Fi","104 min "
3163,"Titan A.E.","Don Bluth","Matt Damon, Drew Barrymore, Bill Pullman","6.6","Animation, Action, Adventure","94 min "
3164,"The Crow: Salvation","Bharat Nalluri","Kirsten Dunst, Eric Mabius, Fred Ward","5","Action, Crime, Fantasy","102 min "
3165,"Pitch Black","David Twohy","Radha Mitchell, Cole Hauser, Vin Diesel","7.1","Action, Horror, Sci-Fi","109 min "
3166,"U-571","Jonathan Mostow","Matthew McConaughey, Bill Paxton, Harvey Keitel","6.6","Action, War","116 min "
3167,"Dark Confessions","Lloyd A. Simandl","Kate Rodger, Rena Riffel, Lisha Snelgrove","3.9","Action, Drama, Horror","92 min "
3168,"Sinbad: Beyond the Veil of Mists","Evan Ricks","Alice Amter, Clint Carmichael, Brendan Fraser","5.2","Action, Animation","85 min "
3169,"Highlander: Endgame","Douglas Aarniokoski","Christopher Lambert, Adrian Paul, Bruce Payne","4.5","Action, Adventure, Fantasy","87 min "
3170,"Shafted!","Tom Putnam","Morgan Rusler, Hayley Man, Angelle Brooks","4.2","Action, Comedy","90 min "
3171,"White Wolves III: Cry of the White Wolf","Victoria Muspratt","","6.3","Action, Adventure","87 min "
3172,"Josh","Mansoor Khan","Shah Rukh Khan, Aishwarya Rai Bachchan, Chandrachur Singh","6.1","Action, Drama, Musical","162 min "
3173,"The Art of War","Christian Duguay","Wesley Snipes, Anne Archer, Maury Chaykin","5.7","Action, Adventure, Crime","117 min "
3174,"Charlie's Angels","McG","Cameron Diaz, Drew Barrymore, Lucy Liu","5.5","Action, Adventure, Comedy","98 min "
3175,"Rules of Engagement","William Friedkin","Tommy Lee Jones, Samuel L. Jackson, Guy Pearce","6.4","Action, Drama, War","128 min "
3176,"Shaft","John Singleton","Samuel L. Jackson, Vanessa Williams, Christian Bale","5.9","Action, Crime, Thriller","99 min "
3177,"Nautilus","Rodney McDonald","Richard Norton, Hannes Jaenicke, Miranda Wolfe","3.8","Action, Sci-Fi","97 min "
3178,"Romeo Must Die","Andrzej Bartkowiak","Jet Li, Aaliyah, Isaiah Washington","6.1","Action, Crime, Thriller","115 min "
3179,"A Better Way to Die","Scott Wiper","Scott Wiper, Jack Conley, Carmen Argenziano","5.7","Action, Thriller","101 min "
3180,"Alex l'ariete","Damiano Damiani","Alberto Tomba, Michelle Hunziker, Orso Maria Guerrini","1.7","Action, Crime","122 min "
3181,"The Million Dollar Kid","Neil Mandt","Richard Thomas, Maureen McCormick, C. Thomas Howell","2.5","Adventure, Family, Comedy","91 min "
3182,"Bullfighter","Rune Bendixen","Olivier Martinez, Michelle Forbes, Assumpta Serna","2.5","Action, Fantasy, Western","90 min "
3183,"Delta Force One: The Lost Patrol","Joseph Zito","Gary Daniels, Mike Norris, Bentley Mitchum","2.6","Action","93 min "
3184,"New Blood","Michael Hurst","John Hurt, Nick Moran, Carrie-Anne Moss","5.5","Action, Thriller","98 min "
3185,"The Perfect Storm","Wolfgang Petersen","George Clooney, Mark Wahlberg, Diane Lane","6.4","Action, Adventure, Drama","130 min "
3186,"Fortress 2","Geoff Murphy","Christopher Lambert, Beth Toussaint, Willie Garson","4.4","Action, Sci-Fi","92 min "
3187,"Icebreaker","David Giancola","Sean Astin, Bruce Campbell, Stacy Keach","4.2","Action, Drama","90 min "
3188,"The Specials","Craig Mazin","Rob Lowe, Thomas Haden Church, Paget Brewster","6","Action, Comedy, Fantasy","82 min "
3189,"Intrepid","John Putch","James Coburn, Costas Mandylor, Finola Hughes","3.5","Action, Drama, Thriller","90 min "
3190,"Reindeer Games","John Frankenheimer","Ben Affleck, Gary Sinise, Charlize Theron","5.7","Action, Crime, Drama","104 min "
3191,"Shanghai Noon","Tom Dey","Jackie Chan, Owen Wilson, Lucy Liu","6.6","Action, Adventure, Comedy","110 min "
3192,"Battlefield Earth","Roger Christian","John Travolta, Forest Whitaker, Barry Pepper","2.4","Action, Adventure, Sci-Fi","118 min "
3193,"Nowhere Land","Rupert Hitzig","Peter Dobson, Dina Meyer, Jon Polito","4.3","Action, Drama, Crime","88 min "
3194,"Point Doom","Art Camacho","Richard Grieco, Andrew Dice Clay, Angie Everhart","3.5","Action, Crime, Drama","100 min "
3195,"Space Cowboys","Clint Eastwood","Clint Eastwood, Tommy Lee Jones, Donald Sutherland","6.4","Action, Adventure, Thriller","130 min "
3196,"Gone in Sixty Seconds","Dominic Sena","Nicolas Cage, Angelina Jolie, Giovanni Ribisi","6.5","Action, Crime, Thriller","118 min "
3197,"The Patriot","Roland Emmerich","Mel Gibson, Heath Ledger, Joely Richardson","7.1","Action, Drama, History","165 min "
3198,"Primary Suspect","Jeff Celentano","William Baldwin, Brigitte Bako, Lee Majors","5","Action, Thriller, Mystery","91 min "
3199,"Sonic Impact","Rodney McDonald","James Russo, Ice-T, Michael Harris","4.2","Action, Thriller","94 min "
3200,"Dungeons & Dragons","Courtney Solomon","Justin Whalin, Jeremy Irons, Zoe McLellan","3.6","Action, Adventure, Comedy","107 min "
3201,"Vertical Limit","Martin Campbell","Scott Glenn, Chris O'Donnell, Bill Paxton","5.8","Action, Adventure, Drama","124 min "
3202,"The Skulls","Rob Cohen","Joshua Jackson, Paul Walker, Hill Harper","5.6","Action, Crime, Drama","106 min "
3203,"Leak 2000","Jean van de Velde","Cas Jansen, Ricky Koole, Thomas Acda","7.1","Action, Crime, Thriller","105 min "
3204,"The Wrecking Crew","Albert Pyun","Ice-T, Ernie Hudson Jr., T.J. Storm","4.2","Action, Crime, Drama","80 min "
3205,"Escape Under Pressure","Jean Pellerin","Rob Lowe, Larisa Miller, Craig Wasson","3.8","Action, Thriller","94 min "
3206,"Tiger Claws III","J. Stephen Maunder","Jalal Merhi, Cynthia Rothrock, Loren Avedon","4","Action","95 min "
3207,"Manhattan Chase","Godfrey Ho","Cynthia Rothrock, Loren Avedon, Steve Tartalia","5.8","Action, Drama","97 min "
3208,"Red Planet","Antony Hoffman","Val Kilmer, Carrie-Anne Moss, Tom Sizemore","5.6","Action, Sci-Fi, Thriller","106 min "
3209,"Deep Core","Rodney McDonald","Craig Sheffer, Terry Farrell, Bruce McGill","2.6","Action, Sci-Fi, Thriller","80 min "
3210,"The Way of the Gun","Christopher McQuarrie","Ryan Phillippe, Benicio Del Toro, Juliette Lewis","","Action, Crime, Drama","119 min "
3211,"Pilgrim","Harley Cokeliss","Ray Liotta, Gloria Reuben, Armin Mueller-Stahl","5.4","Action, Mystery, Thriller","94 min "
3212,"The Alternate","Sam Firstenberg","Eric Roberts, Bryan Genesse, Ice-T","2.4","Action, Drama","95 min "
3213,"Chain of Command","John Terlesky","Roy Scheider, Patrick Muldoon, Maria Conchita Alonso","4.8","Action, Adventure, Thriller","96 min "
3214,"Big Momma's House","Raja Gosnell","Martin Lawrence, Nia Long, Paul Giamatti","5","Action, Comedy, Crime","99 min "
3215,"The Chaos Factor","Terry Cunningham","Antonio Sabato Jr., Fred Ward, Kelly Rutherford","4.6","Action, Drama, Thriller","95 min "
3216,"Get Carter","Stephen Kay","Sylvester Stallone, Rachael Leigh Cook, Miranda Richardson","5.1","Action, Crime, Drama","102 min "
3217,"Bait","Antoine Fuqua","Jamie Foxx, David Morse, Robert Pastorelli","5.7","Action, Crime, Thriller","119 min "
3218,"Miss Congeniality","Donald Petrie","Sandra Bullock, Michael Caine, Benjamin Bratt","6.1","Action, Comedy, Crime","109 min "
3219,"Ground Zero","Richard Friedman","Janet Gunn, Jack Scalia, Scott Terra","3.5","Action, Drama","92 min "
3220,"Doomsdayer","Michael J. Sarna","Joe Lara, Udo Kier, January Isaac","3.6","Action","93 min "
3221,"2000 AD","Gordon Chan","Aaron Kwok, Phyllis Quek, James Lye","6","Action, Thriller","109 min "
3222,"The Last Patrol","Sheldon Lettich","Dolph Lundgren, Sherri Alexander, Joe Michael Burke","3.4","Action, Drama, Sci-Fi","95 min "
3223,"The 6th Day","Roger Spottiswoode","Arnold Schwarzenegger, Michael Rapaport, Tony Goldwyn","5.9","Action, Mystery, Sci-Fi","123 min "
3224,"Turn It Up","Robert Adetuyi","Pras Michel, Ja Rule, Jason Statham","4.4","Crime, Drama, Action","86 min "
3225,"Militia","Jim Wynorski","Dean Cain, Jennifer Beals, Frederic Forrest","2.9","Action, Adventure","89 min "
3226,"Agent Red","Damian Lee","Dolph Lundgren, Meilani Paul, Aleksandr Kuznetsov","3.1","Action, Drama, Thriller","95 min "
3227,"Call","Rajkumar Santoshi","Anil Kapoor, Madhuri Dixit, Namrata Shirodkar","6.9","Action, Drama, Romance","176 min "
3228,"Submerged","Fred Olen Ray","Coolio, Maxwell Caulfield, Brent Huff","2.4","Action","95 min "
3229,"Operation Delta Force 5: Random Fire","Yossi Wein","Trae Thomas, Todd Jensen, Anthony Bishop","3.8","Action","91 min "
3230,"Proof of Life","Taylor Hackford","Meg Ryan, Russell Crowe, David Morse","6.2","Action, Drama, Thriller","135 min "
3231,"Tha Eastsidaz","Michael Martin","Snoop Dogg, Darryl Brunson, Tray Deee","3.7","Action, Crime","81 min "
3232,"The Last Man","Harry Ralston","David Arnott, Jeri Ryan, Dan Montgomery Jr.","5.4","Action, Comedy, Drama","95 min "
3233,"Epicenter","Richard Pepin","Traci Lords, Gary Daniels, Jeff Fahey","3.1","Action, Adventure, Crime","102 min "
3234,"Kaho Naa... Pyaar Hai","Rakesh Roshan","Hrithik Roshan, Ameesha Patel, Anupam Kher","6.9","Action, Crime, Romance","172 min "
3235,"Brother 2","Aleksey Balabanov","Sergey Bodrov Jr., Viktor Sukhorukov, Sergey Makovetskiy","7.9","Action, Crime, Thriller","122 min "
3236,"Annayya","Muthyala Subbaiah","Chiranjeevi, Soundarya, Ravi Teja","6.5","Action, Family","157 min "
3237,"Castle Rock","Craig Clyde","Alana Austin, Roger Velasco, Pamela Bach-Hasselhoff","5.8","Action, Adventure, Family","81 min "
3238,"Ultimate Target","Darren Doane","Gary Daniels, Christopher Stapleton, Michael Madsen","5.5","Action, Thriller, Adventure","83 min "
3239,"Mercy Streets","Jon Gunn","Eric Roberts, David A.R. White, Cynthia Watros","5.5","Action, Drama, Crime","106 min "
3240,"The Duel","Wai-Keung Lau","Andy Lau, Ekin Cheng, Nick Cheung","6","Action, Adventure, Comedy","106 min "
3241,"Slow Burn","Rodney Gibbons","Pam Grier, Rutger Hauer, Romano Orzari","4.9","Action, Crime, Drama","90 min "
3242,"The Mechanism","Djordje Milosavljevic","Ivana Mihic, Nikola Kojo, Andrej Sepetkovski","5.9","Action, Crime","94 min "
3243,"Badal","Raj Kanwar","Bobby Deol, Rani Mukerji, Ashutosh Rana","4.6","Action, Crime, Drama","166 min "
3244,"Gen-X Cops 2: Metal Mayhem","Benny Chan","Mark Hicks, Paul Rudd, Edison Chen","5.1","Action, Sci-Fi","120 min "
3245,"Time and Tide","Hark Tsui","Nicholas Tse, Wu Bai, Candy Lo","7","Action, Crime, Drama","113 min "
3246,"Jungle","Ram Gopal Varma","Sunil Shetty, Fardeen Khan, Urmila Matondkar","6.3","Action, Romance, Thriller","146 min "
3247,"Bichhoo","Guddu Dhanoa","","4.4","Thriller, Action, Crime","160 min "
3248,"Deewane","Harry Baweja","","4.9","Action, Romance","164 min "
3249,"Khiladi 420","Neeraj Vora","Akshay Kumar, Mahima Chaudhry, Antara Mali","5.4","Action, Comedy, Crime","157 min "
3250,"Kurukshetra","Mahesh Manjrekar","Mukesh Rishi, Sanjay Dutt, Mahima Chaudhry","6.1","Action, Drama, Thriller","129 min "
3251,"Hostile Environment","David A. Prior","Brigitte Nielsen, Matthias Hues, Darren Shahlavi","2.2","Action, Sci-Fi","96 min "
3252,"Double Tap","Chi-Leung Law","Leslie Cheung, Alex Fong, Ruby Wong","6.8","Action, Crime, Thriller","89 min "
3253,"The Operative","Robert Lee","Brian Bosworth, John Tench, Rachel Hayward","4.2","Action","97 min "
3254,"Digimon: The Movie","Mamoru Hosoda","Lara Jill Miller, Joshua Seth, Bob Papenbrook","5.8","Animation, Action, Adventure","82 min "
3255,"The Price of Air","Josh Evans","Michael Madsen, Dick Van Patten, Michelle Phillips","1.9","Action, Crime, Drama","88 min "
3256,"The Silencer","Robert Lee","Michael Dudikoff, Brennan Elliott, Terence Kelly","5.3","Action","92 min "
3257,"Bangkok Dangerous","Oxide Pang Chun","Pawarith Monkolpisit, Premsinee Ratanasopha, Patharawarin Timkul","6.6","Action, Crime, Romance","105 min "
3258,"China Strike Force","Stanley Tong","Aaron Kwok, Norika Fujiwara, Leehom Wang","5.3","Action","103 min "
3259,"Tears of the Black Tiger","Wisit Sasanatieng","Chartchai Ngamsan, Stella Malucchi, Supakorn Kitsuwon","7","Action, Comedy, Romance","110 min "
3260,"Bad boy dak gung","Wai Man Yip","Ekin Cheng, Louis Koo, Qi Shu","5","Action, Comedy, Drama","105 min "
3261,"Bang Rajan","Tanit Jitnukul","Jaran Ngamdee, Winai Kraibutr, Theerayut Pratyabamrung","6.8","Action, Drama, History","71 min "
3262,"Jung","Sanjay Gupta","Sanjay Dutt, Jackie Shroff, Aditya Pancholi","4.2","Action","147 min "
3263,"Baller Blockin'","Steven Esteb","B.G., Jeanette Branch, Juvenile","5.1","Action, Crime","54 min "
3264,"Chung wah do hap","Siu-Tung Ching","Louis Koo, Nick Cheung, Athena Chu","5.8","Action, Comedy","104 min "
3265,"Tunay na tunay: Gets mo? Gets ko!","Joyce Bernal","Robin Padilla, Jolina Magdangal, Vic Diaz","6.9","Action, Comedy, Romance","106 min "
3266,"Ang dalubhasa","Fernando Poe Jr.","Fernando Poe Jr., Nanette Medved, Maritoni Fernandez","6","Action, Drama","115 min "
3267,"Palaban","Toto Natividad","Rudy Fernandez, Ara Mina, Roi Vinzon","6.2","Action, Drama","105 min "
3268,"Orpheus & Eurydice","Paul Pissanos","Andrew Bullock, David Bowles, Carolina Liriti","7.9","Action, Adventure, Drama","124 min "
3269,"One Piece: The Movie","Atsuji Shimizu","Akemi Okamura, Kappei Yamaguchi, Kazuya Nakai","6.8","Animation, Action, Adventure","51 min "
3270,"Sangharsh","Tanuja Chandra","Akshay Kumar, Preity Zinta, Ashutosh Rana","6.9","Action, Crime, Thriller","127 min "
3271,"Jimmy Zip","Robert McGinley","Brendan Fletcher, Ike Gingrich, Rosemary Welden","5.6","Action, Crime, Drama","112 min "
3272,"Three Kings","David O. Russell","George Clooney, Mark Wahlberg, Ice Cube","7.2","Action, Adventure, Comedy","114 min "
3273,"Virus","John Bruno","Jamie Lee Curtis, William Baldwin, Donald Sutherland","4.8","Action, Horror, Thriller","99 min "
3274,"Beowulf","Graham Baker","Christopher Lambert, Rhona Mitra, Oliver Cotton","4","Action, Adventure, Fantasy","95 min "
3275,"The Mummy","Stephen Sommers","Brendan Fraser, Rachel Weisz, John Hannah","7","Action, Adventure, Fantasy","125 min "
3276,"The Mod Squad","Scott Silver","Claire Danes, Omar Epps, Giovanni Ribisi","4.1","Action, Crime, Thriller","92 min "
3277,"One Man's Hero","Lance Hool","Tom Berenger, Joaquim de Almeida, Daniela Romo","6.1","Action, Drama, History","121 min "
3278,"Payback","Brian Helgeland","Mel Gibson, Gregg Henry, Maria Bello","7.1","Action, Crime, Drama","100 min "
3279,"Wild Wild West","Barry Sonnenfeld","Will Smith, Kevin Kline, Kenneth Branagh","4.8","Action, Western, Comedy","106 min "
3280,"Tail Lights Fade","Malcolm Ingram","Jaimz Woolvett, Breckin Meyer, Jake Busey","4.8","Comedy, Action, Drama","87 min "
3281,"Hidden Agenda","Iain Paterson","Kevin Dillon, Andrea Roth, J.T. Walsh","4.6","Action, Crime, Mystery","101 min "
3282,"Facade","Carl Colpaert","Eric Roberts, Camilla Overbye Roos, Angus Macfadyen","4.6","Action, Thriller","93 min "
3283,"Facade","Carl Colpaert","Eric Roberts, Camilla Overbye Roos, Angus Macfadyen","4.6","Action, Thriller","93 min "
3284,"The Iron Giant","Brad Bird","Eli Marienthal, Harry Connick Jr., Jennifer Aniston","8","Animation, Action, Adventure","86 min "
3285,"Wing Commander","Chris Roberts","Freddie Prinze Jr., Matthew Lillard, Saffron Burrows","4.1","Action, Adventure, Sci-Fi","100 min "
3286,"Mystery Men","Kinka Usher","Ben Stiller, Janeane Garofalo, William H. Macy","6","Action, Comedy, Fantasy","121 min "
3287,"Plunkett & Macleane","Jake Scott","Robert Carlyle, Jonny Lee Miller, Iain Robertson","6.4","Action, Adventure, Crime","99 min "
3288,"Road Kill","Matthew Leutwyler","Jennifer Rubin, Erik Palladino, Billy Jayne","6.1","Action, Comedy, Drama","92 min "
3289,"Entrapment","Jon Amiel","Sean Connery, Catherine Zeta-Jones, Ving Rhames","6.2","Action, Crime, Romance","113 min "
3290,"Taxman","Avi Nesher","Joe Pantoliano, Wade Dominguez, Elizabeth Berkley","5.4","Action, Crime, Comedy","104 min "
3291,"Desert Heat","John G. Avildsen","Jean-Claude Van Damme, Pat Morita, Danny Trejo","5.1","Action, Drama, Romance","95 min "
3292,"Inspector Gadget","David Kellogg","Matthew Broderick, Rupert Everett, Joely Fisher","4.1","Action, Adventure, Comedy","78 min "
3293,"The Corruptor","James Foley","Yun-Fat Chow, Mark Wahlberg, Ric Young","6","Action, Crime, Drama","110 min "
3294,"The World Is Not Enough","Michael Apted","Pierce Brosnan, Sophie Marceau, Robert Carlyle","6.4","Action, Adventure, Thriller","128 min "
3295,"The Boondock Saints","Troy Duffy","Willem Dafoe, Sean Patrick Flanery, Norman Reedus","7.9","Action, Crime, Thriller","108 min "
3296,"Austin Powers: The Spy Who Shagged Me","Jay Roach","Mike Myers, Heather Graham, Michael York","6.6","Action, Adventure, Comedy","95 min "
3297,"End of Days","Peter Hyams","Arnold Schwarzenegger, Gabriel Byrne, Robin Tunney","5.7","Action, Fantasy, Horror","121 min "
3298,"Deep Blue Sea","Renny Harlin","Thomas Jane, Saffron Burrows, Samuel L. Jackson","5.8","Action, Sci-Fi, Thriller","105 min "
3299,"Black and White","Yuri Zeltser","Gina Gershon, Rory Cochrane, Ron Silver","5.2","Action, Mystery, Thriller","97 min "
3300,"Fallout","Rodney McDonald","Daniel Baldwin, Frank Zagarino, Teri Ann Linn","3.6","Action, Sci-Fi","90 min "
3301,"The Prophet","Fred Olen Ray","Don 'The Dragon' Wilson, Barbara Steele, Alexander Keith","3.9","Action","83 min "
3302,"The Vivero Letter","H. Gordon Boos","Robert Patrick, Chiara Caselli, Fred Ward","4.2","Action, Adventure, Thriller","95 min "
3303,"The Criminal","Julian Simpson","Steven Mackintosh, Bernard Hill, Eddie Izzard","5.7","Action, Drama","99 min "
3304,"The Debt Collector","Anthony Neilson","Billy Connolly, Ken Stott, Francesca Annis","6.6","Action, Crime, Thriller","109 min "
3305,"Shepherd","Peter Hayman","C. Thomas Howell, Roddy Piper, David Carradine","2.7","Action, Sci-Fi","86 min "
3306,"Angel's Dance","David L. Corley","James Belushi, Sheryl Lee, Kyle Chandler","6.1","Action, Comedy, Crime","99 min "
3307,"Chill Factor","Hugh Johnson","Cuba Gooding Jr., Skeet Ulrich, Peter Firth","5.2","Action, Adventure, Comedy","102 min "
3308,"Desert Thunder","Jim Wynorski","Tim Abell, Daniel Baldwin, Ari Barak","4","Action, Drama","90 min "
3309,"Ghost Dog: The Way of the Samurai","Jim Jarmusch","Forest Whitaker, Henry Silva, John Tormey","7.6","Action, Crime, Drama","116 min "
3310,"Restraining Order","Lee H. Katzin","Eric Roberts, Hannes Jaenicke, Tatjana Patitz","4.3","Action, Thriller","95 min "
3311,"Hijack","Worth Keeter","Jeff Fahey, Ernie Hudson, Beth Toussaint","4.1","Action, Thriller","94 min "
3312,"Interceptor Force","Phillip J. Roth","Olivier Gruner, Brad Dourif, Ernie Hudson","3.9","Action, Drama, Sci-Fi","97 min "
3313,"The Last Marshal","Mike Kirton","Scott Glenn, Constance Marie, Randall Batinkoff","5.2","Action, Thriller","102 min "
3314,"Simon Sez","Kevin Alyn Elders","Dennis Rodman, Dane Cook, John Pinette","2.4","Action, Comedy","85 min "
3315,"Final Voyage","Jim Wynorski","Dylan Walsh, Ice-T, Erika Eleniak","4","Action, Drama","95 min "
